platform,account_id,post_id,published_at,likes,comments,metrics_observed_at,source,measurement_protocol
facebook,legacy_facebook_unknown,legacy_row_000001,2025-01-01T11:00:00-04:00,35,4,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000002,2025-01-01T12:00:00-04:00,52,7,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000003,2025-01-01T14:00:00-04:00,73,18,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000004,2025-01-01T15:00:00-04:00,99,12,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000005,2025-01-01T18:00:00-04:00,58,20,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000006,2025-01-01T19:00:00-04:00,50,15,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000007,2025-01-01T20:00:00-04:00,71,9,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000008,2025-01-02T13:00:00-04:00,69,13,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000009,2025-01-02T14:00:00-04:00,36,8,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000010,2025-01-02T16:00:00-04:00,41,3,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000011,2025-01-02T20:00:00-04:00,81,9,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000012,2025-01-03T11:00:00-04:00,34,8,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000013,2025-01-05T10:00:00-04:00,15,3,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000014,2025-01-06T10:00:00-04:00,37,4,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000015,2025-01-06T12:00:00-04:00,41,7,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000016,2025-01-06T12:00:00-04:00,52,12,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000017,2025-01-06T13:00:00-04:00,93,9,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000018,2025-01-07T11:00:00-04:00,15,6,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000019,2025-01-07T13:00:00-04:00,91,17,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000020,2025-01-07T14:00:00-04:00,55,13,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000021,2025-01-07T15:00:00-04:00,66,16,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000022,2025-01-07T21:00:00-04:00,39,6,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000023,2025-01-08T07:00:00-04:00,17,1,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000024,2025-01-08T10:00:00-04:00,42,6,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000025,2025-01-08T12:00:00-04:00,50,9,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000026,2025-01-08T13:00:00-04:00,76,8,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000027,2025-01-09T12:00:00-04:00,39,10,,synthetic,unknown
facebook,legacy_facebook_unknown,legacy_row_000028,2025-01-09T13:00:00-04:00,55,15,,synthetic,unknown
